"Customer ID","Server ID","Arrival Time","Service Start Time","Departure Time","Service Duration","Queue Delay Time"
2,2,0.398280019292,0.398280019292,0.450141686351,0.518616670590E-01,0.00000000000
4,2,0.482546768005,0.482546768005,0.518441024722,0.358942567167E-01,0.00000000000
3,3,0.402614063147,0.402614063147,1.01911524067,0.616501177523,0.00000000000
1,1,0.626990397012E-01,0.626990397012E-01,1.04321824633,0.980519206627,0.00000000000
5,1,1.26350894386,1.26350894386,1.55259474781,0.289085803950,0.00000000000
6,2,1.44661844252,1.44661844252,1.74161290731,0.294994464788,0.00000000000
7,3,1.53706114148,1.53706114148,1.93360465605,0.396543514569,0.00000000000
9,2,2.21737307505,2.21737307505,2.34998918935,0.132616114296,0.00000000000
8,1,1.89104356909,1.89104356909,3.25486975429,1.36382618520,0.00000000000
10,2,3.13398541599,3.13398541599,4.18736539044,1.05337997445,0.00000000000
11,1,4.15461167631,4.15461167631,4.19587755641,0.412658801095E-01,0.00000000000
13,2,5.82833100478,5.82833100478,5.89114028542,0.628092806399E-01,0.00000000000
12,1,5.55683004790,5.55683004790,5.98689502108,0.430064973181,0.00000000000
15,2,6.86252943120,6.86252943120,6.90458985403,0.420604228366E-01,0.00000000000
14,1,6.75626990459,6.75626990459,6.93025267432,0.173982769737,0.00000000000
16,1,7.79707787056,7.79707787056,8.09064177791,0.293563907346,0.00000000000
17,1,8.29303826706,8.29303826706,8.79021419343,0.497175926362,0.00000000000
18,2,8.67364668106,8.67364668106,9.05012432808,0.376477647026,0.00000000000
19,1,9.39413197600,9.39413197600,9.40998022631,0.158482503097E-01,0.00000000000
20,1,9.53776181917,9.53776181917,9.88243958336,0.344677764198,0.00000000000
21,1,10.1620567043,10.1620567043,10.2351902597,0.731335553999E-01,0.00000000000
23,2,11.4414962027,11.4414962027,11.4678602012,0.263639985030E-01,0.00000000000
22,1,11.2722637420,11.2722637420,11.5607253128,0.288461570776,0.00000000000
25,2,11.7789518439,11.7789518439,11.9760813801,0.197129536268,0.00000000000
24,1,11.6563981131,11.6563981131,12.1198549666,0.463456853540,0.00000000000
26,1,12.3410630215,12.3410630215,12.6884469800,0.347383958494,0.00000000000
29,3,13.3075797789,13.3075797789,13.3632084430,0.556286640976E-01,0.00000000000
27,1,13.0541133420,13.0541133420,13.4855536599,0.431440317877,0.00000000000
30,3,13.4029958066,13.4029958066,13.4996791764,0.966833697416E-01,0.00000000000
31,1,13.6547743313,13.6547743313,13.7088667261,0.540923947489E-01,0.00000000000
28,2,13.0688305139,13.0688305139,13.8673589639,0.798528449981,0.00000000000
32,1,13.9770847917,13.9770847917,14.2151411797,0.238056387977,0.00000000000
34,2,15.7269822320,15.7269822320,15.7536448339,0.266626019626E-01,0.00000000000
35,2,15.7790926563,15.7790926563,15.9064556808,0.127363024539,0.00000000000
38,-1,16.4523529082,-1.00000000000,16.4523529082,-1.00000000000,0.00000000000
33,1,15.3817312279,15.3817312279,16.5231980298,1.14146680186,0.00000000000
37,3,16.3073684194,16.3073684194,16.7229433286,0.415574909175,0.00000000000
36,2,15.9279865528,15.9279865528,17.0053218299,1.07733527713,0.00000000000
39,1,17.1516814608,17.1516814608,17.2316846969,0.800032361799E-01,0.00000000000
40,1,19.2585681682,19.2585681682,19.4565588280,0.197990659764,0.00000000000
41,1,19.4695942665,19.4695942665,20.1472598091,0.677665542605,0.00000000000
44,1,20.1638448414,20.1638448414,20.1878596936,0.240148521941E-01,0.00000000000
43,3,19.9169265517,19.9169265517,20.3147858869,0.397859335252,0.00000000000
42,2,19.5444095431,19.5444095431,21.1904879886,1.64607844548,0.00000000000
45,1,21.1256388020,21.1256388020,21.2685768152,0.142938013252,0.00000000000
46,1,21.6982366463,21.6982366463,22.1999896557,0.501753009422,0.00000000000
47,1,22.3849398077,22.3849398077,23.0405326058,0.655592798133,0.00000000000
49,1,23.3996094808,23.3996094808,23.6093864165,0.209776935701,0.00000000000
48,2,22.7881900618,22.7881900618,23.9911578349,1.20296777311,0.00000000000
50,1,24.0190720375,24.0190720375,24.0998426832,0.807706456992E-01,0.00000000000
51,1,24.8293259231,24.8293259231,24.9489642814,0.119638358320,0.00000000000
53,2,25.1362009904,25.1362009904,25.4823043760,0.346103385594,0.00000000000
54,3,25.4379018049,25.4379018049,25.5133066478,0.754048428249E-01,0.00000000000
52,1,25.1123938736,25.1123938736,25.6332673969,0.520873523305,0.00000000000
55,1,25.7106004407,25.7106004407,25.8237268682,0.113126427440,0.00000000000
57,2,26.9407768696,26.9407768696,26.9570542959,0.162774262474E-01,0.00000000000
56,1,26.9289495468,26.9289495468,27.0528536576,0.123904110825,0.00000000000
58,1,27.2730503111,27.2730503111,27.5822497516,0.309199440446,0.00000000000
59,1,28.2798171345,28.2798171345,28.8951288459,0.615311711459,0.00000000000
60,1,29.7347760535,29.7347760535,30.0574462982,0.322670244736,0.00000000000
61,1,31.2721196375,31.2721196375,31.3193738766,0.472542391355E-01,0.00000000000
62,1,33.0925869089,33.0925869089,33.1832466476,0.906597387150E-01,0.00000000000
63,1,33.7824922934,33.7824922934,33.8943801774,0.111887883958,0.00000000000
64,1,34.4350869404,34.4350869404,34.6927504446,0.257663504258,0.00000000000
66,3,34.6883917973,34.6883917973,34.9509564464,0.262564649090,0.00000000000
65,2,34.4644082405,34.4644082405,35.3173287932,0.852920552722,0.00000000000
67,1,35.9491973405,35.9491973405,36.1720189484,0.222821607940,0.00000000000
68,2,35.9886180372,35.9886180372,36.2248644412,0.236246404043,0.00000000000
