"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Arrival",0.626990397012E-01,-1,1,0,0
"Service",0.626990397012E-01,1,1,0,1
"Arrival",0.398280019292,-1,2,0,1
"Service",0.398280019292,2,2,0,2
"Arrival",0.402614063147,-1,3,0,2
"Service",0.402614063147,3,3,0,3
"Departure",0.450141686351,2,2,0,2
"Arrival",0.482546768005,-1,4,0,2
"Service",0.482546768005,2,4,0,3
"Departure",0.518441024722,2,4,0,2
"Departure",1.01911524067,3,3,0,1
"Departure",1.04321824633,1,1,0,0
"Arrival",1.26350894386,-1,5,0,0
"Service",1.26350894386,1,5,0,1
"Arrival",1.44661844252,-1,6,0,1
"Service",1.44661844252,2,6,0,2
"Arrival",1.53706114148,-1,7,0,2
"Service",1.53706114148,3,7,0,3
"Departure",1.55259474781,1,5,0,2
"Departure",1.74161290731,2,6,0,1
"Arrival",1.89104356909,-1,8,0,1
"Service",1.89104356909,1,8,0,2
"Departure",1.93360465605,3,7,0,1
"Arrival",2.21737307505,-1,9,0,1
"Service",2.21737307505,2,9,0,2
"Departure",2.34998918935,2,9,0,1
"Arrival",3.13398541599,-1,10,0,1
"Service",3.13398541599,2,10,0,2
"Departure",3.25486975429,1,8,0,1
"Arrival",4.15461167631,-1,11,0,1
"Service",4.15461167631,1,11,0,2
"Departure",4.18736539044,2,10,0,1
"Departure",4.19587755641,1,11,0,0
"Arrival",5.55683004790,-1,12,0,0
"Service",5.55683004790,1,12,0,1
"Arrival",5.82833100478,-1,13,0,1
"Service",5.82833100478,2,13,0,2
"Departure",5.89114028542,2,13,0,1
"Departure",5.98689502108,1,12,0,0
"Arrival",6.75626990459,-1,14,0,0
"Service",6.75626990459,1,14,0,1
"Arrival",6.86252943120,-1,15,0,1
"Service",6.86252943120,2,15,0,2
"Departure",6.90458985403,2,15,0,1
"Departure",6.93025267432,1,14,0,0
"Arrival",7.79707787056,-1,16,0,0
"Service",7.79707787056,1,16,0,1
"Departure",8.09064177791,1,16,0,0
"Arrival",8.29303826706,-1,17,0,0
"Service",8.29303826706,1,17,0,1
"Arrival",8.67364668106,-1,18,0,1
"Service",8.67364668106,2,18,0,2
"Departure",8.79021419343,1,17,0,1
"Departure",9.05012432808,2,18,0,0
"Arrival",9.39413197600,-1,19,0,0
"Service",9.39413197600,1,19,0,1
"Departure",9.40998022631,1,19,0,0
"Arrival",9.53776181917,-1,20,0,0
"Service",9.53776181917,1,20,0,1
"Departure",9.88243958336,1,20,0,0
"Arrival",10.1620567043,-1,21,0,0
"Service",10.1620567043,1,21,0,1
"Departure",10.2351902597,1,21,0,0
"Arrival",11.2722637420,-1,22,0,0
"Service",11.2722637420,1,22,0,1
"Arrival",11.4414962027,-1,23,0,1
"Service",11.4414962027,2,23,0,2
"Departure",11.4678602012,2,23,0,1
"Departure",11.5607253128,1,22,0,0
"Arrival",11.6563981131,-1,24,0,0
"Service",11.6563981131,1,24,0,1
"Arrival",11.7789518439,-1,25,0,1
"Service",11.7789518439,2,25,0,2
"Departure",11.9760813801,2,25,0,1
"Departure",12.1198549666,1,24,0,0
"Arrival",12.3410630215,-1,26,0,0
"Service",12.3410630215,1,26,0,1
"Departure",12.6884469800,1,26,0,0
