"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Arrival",9.58759029155,-1,1,0,0
"Service",9.58759029155,1,1,0,1
"Arrival",11.5028673575,-1,2,0,1
"Service",11.5028673575,2,2,0,2
"Departure",12.5141484845,1,1,0,1
"Arrival",16.5195249174,-1,3,0,1
"Service",16.5195249174,1,3,0,2
"Departure",20.5928828865,1,3,0,1
"Arrival",23.4886435480,-1,4,0,1
"Service",23.4886435480,1,4,0,2
"Departure",31.9513110972,1,4,0,1
"Arrival",34.3466004824,-1,5,0,1
"Service",34.3466004824,1,5,0,2
"Departure",35.9878588553,1,5,0,1
"Departure",42.5309987456,2,2,0,0
"Arrival",48.5891210275,-1,6,0,0
"Service",48.5891210275,1,6,0,1
"Arrival",53.4282180520,-1,7,0,1
"Service",53.4282180520,2,7,0,2
"Arrival",58.0502092154,-1,8,0,2
"Service",58.0502092154,3,8,0,3
"Departure",62.7593582546,2,7,0,2
"Departure",68.3059739154,1,6,0,1
"Departure",69.4414563984,3,8,0,0
"Arrival",75.4461913395,-1,9,0,0
"Service",75.4461913395,1,9,0,1
"Departure",83.1122620649,1,9,0,0
"Arrival",83.4508242674,-1,10,0,0
"Service",83.4508242674,1,10,0,1
"Arrival",91.2836694603,-1,11,0,1
"Service",91.2836694603,2,11,0,2
"Departure",93.9530102948,1,10,0,1
"Arrival",100.285862719,-1,12,0,1
"Service",100.285862719,1,12,0,2
"Departure",108.264206146,2,11,0,1
"Arrival",124.414289931,-1,13,0,1
"Service",124.414289931,2,13,0,2
"Departure",132.619604672,2,13,0,1
"Arrival",134.371332105,-1,14,0,1
"Service",134.371332105,2,14,0,2
"Departure",135.547573583,1,12,0,1
"Arrival",141.437836443,-1,15,0,1
"Service",141.437836443,1,15,0,2
"Arrival",151.732986598,-1,16,0,2
"Service",151.732986598,3,16,0,3
"Departure",153.011521999,2,14,0,2
"Arrival",161.330580721,-1,17,0,2
"Service",161.330580721,2,17,0,3
"Departure",164.826707385,1,15,0,2
"Departure",168.144722783,2,17,0,1
"Departure",170.153942985,3,16,0,0
"Arrival",173.397487674,-1,18,0,0
"Service",173.397487674,1,18,0,1
"Arrival",177.966264789,-1,19,0,1
"Service",177.966264789,2,19,0,2
"Departure",177.997444278,1,18,0,1
"Arrival",183.460368015,-1,20,0,1
"Service",183.460368015,1,20,0,2
"Departure",187.755706620,2,19,0,1
"Arrival",188.614667549,-1,21,0,1
"Service",188.614667549,2,21,0,2
"Arrival",192.386340143,-1,22,0,2
"Service",192.386340143,3,22,0,3
"Arrival",195.743602171,-1,23,0,3
"Service",195.743602171,4,23,0,4
"Departure",206.375320449,2,21,0,3
"Arrival",207.557610886,-1,24,0,3
"Service",207.557610886,2,24,0,4
"Departure",208.656558253,1,20,0,3
"Arrival",210.791212966,-1,25,0,3
"Service",210.791212966,1,25,0,4
"Departure",214.906373445,4,23,0,3
"Departure",215.031505673,3,22,0,2
"Arrival",216.661775508,-1,26,0,2
"Service",216.661775508,3,26,0,3
"Arrival",219.110635182,-1,27,0,3
"Service",219.110635182,4,27,0,4
"Departure",226.246845639,2,24,0,3
"Arrival",226.967514822,-1,28,0,3
"Service",226.967514822,2,28,0,4
"Departure",229.854319392,1,25,0,3
"Departure",232.034123919,4,27,0,2
"Departure",234.920858457,3,26,0,1
"Arrival",238.247054251,-1,29,0,1
"Service",238.247054251,1,29,0,2
"Arrival",243.649376445,-1,30,0,2
"Service",243.649376445,3,30,0,3
"Departure",246.949014029,2,28,0,2
"Departure",248.306224157,3,30,0,1
"Arrival",250.200828050,-1,31,0,1
"Service",250.200828050,2,31,0,2
"Arrival",259.129048162,-1,32,0,2
"Service",259.129048162,3,32,0,3
"Arrival",263.966471250,-1,33,0,3
"Service",263.966471250,4,33,0,4
"Departure",266.677601852,2,31,0,3
"Departure",269.448192339,3,32,0,2
"Departure",270.652501632,1,29,0,1
"Arrival",272.782768659,-1,34,0,1
"Service",272.782768659,1,34,0,2
"Arrival",275.591788373,-1,35,0,2
"Service",275.591788373,2,35,0,3
"Departure",279.272846556,4,33,0,2
"Arrival",282.884877071,-1,36,0,2
"Service",282.884877071,3,36,0,3
