"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Arrival",638.588116249,-1,48,0,0
"Service",638.588116249,1,48,0,1
"Departure",646.427571544,1,48,0,0
"Arrival",649.426954598,-1,49,0,0
"Service",649.426954598,1,49,0,1
"Departure",653.330465411,1,49,0,0
"Arrival",657.826639201,-1,50,0,0
"Service",657.826639201,1,50,0,1
"Departure",663.229225570,1,50,0,0
"Arrival",669.461675606,-1,51,0,0
"Service",669.461675606,1,51,0,1
"Arrival",673.527131236,-1,52,0,1
"Arrival",675.233462624,-1,53,1,1
"Departure",679.164509451,1,51,2,0
"Service",679.164509451,1,52,1,1
"Departure",684.490585334,1,52,1,0
"Service",684.490585334,1,53,0,1
"Arrival",686.917901608,-1,54,0,1
"Departure",695.856147537,1,53,1,0
"Service",695.856147537,1,54,0,1
"Departure",699.046752206,1,54,0,0
"Arrival",726.221321856,-1,55,0,0
"Service",726.221321856,1,55,0,1
"Arrival",726.511332971,-1,56,0,1
"Arrival",727.293110538,-1,57,1,1
"Departure",739.188139157,1,55,2,0
"Service",739.188139157,1,56,1,1
"Departure",745.200498409,1,56,1,0
"Service",745.200498409,1,57,0,1
"Arrival",752.558757393,-1,58,0,1
"Departure",754.295190220,1,57,1,0
"Service",754.295190220,1,58,0,1
"Arrival",757.532722548,-1,59,0,1
"Departure",760.686276667,1,58,1,0
"Service",760.686276667,1,59,0,1
"Arrival",761.834415886,-1,60,0,1
"Arrival",765.012555329,-1,61,1,1
"Arrival",766.907837505,-1,62,2,1
"Departure",768.412434993,1,59,3,0
"Service",768.412434993,1,60,2,1
"Departure",772.905876197,1,60,2,0
"Service",772.905876197,1,61,1,1
"Arrival",773.463708686,-1,63,1,1
"Arrival",777.993133571,-1,64,2,1
"Arrival",784.170163109,-1,65,3,1
"Departure",785.490469835,1,61,4,0
"Service",785.490469835,1,62,3,1
"Departure",791.269378167,1,62,3,0
"Service",791.269378167,1,63,2,1
"Departure",793.611533297,1,63,2,0
"Service",793.611533297,1,64,1,1
"Arrival",794.346860605,-1,66,1,1
"Arrival",804.529163892,-1,67,2,1
"Departure",805.079783818,1,64,3,0
"Service",805.079783818,1,65,2,1
"Arrival",813.300350030,-1,68,2,1
"Departure",817.322348443,1,65,3,0
"Service",817.322348443,1,66,2,1
"Arrival",818.461056469,-1,69,2,1
"Departure",823.121542271,1,66,3,0
"Service",823.121542271,1,67,2,1
"Departure",827.703204868,1,67,2,0
"Service",827.703204868,1,68,1,1
"Departure",831.882989128,1,68,1,0
"Service",831.882989128,1,69,0,1
"Departure",834.539720915,1,69,0,0
"Arrival",835.868769187,-1,70,0,0
"Service",835.868769187,1,70,0,1
"Arrival",841.131398988,-1,71,0,1
"Departure",844.394508815,1,70,1,0
"Service",844.394508815,1,71,0,1
"Arrival",844.654099572,-1,72,0,1
"Arrival",844.769074832,-1,73,1,1
"Departure",850.299351356,1,71,2,0
"Service",850.299351356,1,72,1,1
"Arrival",853.833804372,-1,74,1,1
"Departure",855.173022966,1,72,2,0
"Service",855.173022966,1,73,1,1
"Arrival",859.085547514,-1,75,1,1
"Departure",862.325299960,1,73,2,0
"Service",862.325299960,1,74,1,1
"Arrival",868.650553122,-1,76,1,1
"Departure",869.937125771,1,74,2,0
"Service",869.937125771,1,75,1,1
"Arrival",874.663206371,-1,77,1,1
"Arrival",875.918689691,-1,78,2,1
"Arrival",877.504617910,-1,79,3,1
"Departure",881.918135077,1,75,4,0
"Service",881.918135077,1,76,3,1
"Arrival",887.384038750,-1,80,3,1
"Arrival",888.432815964,-1,81,4,1
"Departure",889.947647969,1,76,5,0
"Service",889.947647969,1,77,4,1
"Arrival",895.386146264,-1,82,4,1
"Departure",905.890509512,1,77,5,0
"Service",905.890509512,1,78,4,1
"Arrival",914.035141989,-1,83,4,1
"Departure",914.122933889,1,78,5,0
"Service",914.122933889,1,79,4,1
"Departure",916.436078751,1,79,4,0
"Service",916.436078751,1,80,3,1
"Arrival",916.732282148,-1,84,3,1
"Departure",924.464797987,1,80,4,0
"Service",924.464797987,1,81,3,1
"Departure",925.912008641,1,81,3,0
"Service",925.912008641,1,82,2,1
"Arrival",931.087057299,-1,85,2,1
"Arrival",934.737069467,-1,86,3,1
"Departure",945.552228150,1,82,4,0
"Service",945.552228150,1,83,3,1
"Arrival",946.400241019,-1,87,3,1
"Arrival",946.910523971,-1,88,4,1
"Arrival",949.122601781,-1,89,5,1
"Arrival",951.445138600,-1,90,6,1
"Arrival",952.413847937,-1,91,7,1
"Departure",953.376205340,1,83,8,0
"Service",953.376205340,1,84,7,1
"Arrival",954.369807470,-1,92,7,1
"Departure",958.163952321,1,84,8,0
"Service",958.163952321,1,85,7,1
"Departure",964.065926740,1,85,7,0
"Service",964.065926740,1,86,6,1
"Arrival",964.240070478,-1,93,6,1
"Arrival",965.837848550,-1,94,7,1
"Departure",968.868472265,1,86,8,0
"Service",968.868472265,1,87,7,1
"Departure",982.459664101,1,87,7,0
"Service",982.459664101,1,88,6,1
"Arrival",988.005756290,-1,95,6,1
"Departure",994.508255451,1,88,7,0
"Service",994.508255451,1,89,6,1
"Departure",999.245547681,1,89,6,0
"Service",999.245547681,1,90,5,1
"Arrival",1001.65894156,-1,96,5,1
"Departure",1003.55359033,1,90,6,0
"Service",1003.55359033,1,91,5,1
"Arrival",1011.49662250,-1,97,5,1
"Departure",1015.47474036,1,91,6,0
"Service",1015.47474036,1,92,5,1
"Arrival",1019.27210204,-1,98,5,1
"Arrival",1021.60248764,-1,99,6,1
"Arrival",1039.54607390,-1,100,7,1
"Arrival",1040.05319306,-1,101,8,1
"Departure",1041.38734773,1,92,9,0
"Service",1041.38734773,1,93,8,1
"Departure",1045.51140295,1,93,8,0
"Service",1045.51140295,1,94,7,1
"Arrival",1047.71219828,-1,102,7,1
"Departure",1049.40830043,1,94,8,0
"Service",1049.40830043,1,95,7,1
"Departure",1056.36419239,1,95,7,0
"Service",1056.36419239,1,96,6,1
"Arrival",1060.37760986,-1,103,6,1
"Departure",1065.54951906,1,96,7,0
"Service",1065.54951906,1,97,6,1
"Arrival",1068.50272131,-1,104,6,1
"Arrival",1070.06555531,-1,105,7,1
"Arrival",1070.65020493,-1,106,8,1
"Arrival",1076.76359046,-1,107,9,1
"Departure",1082.70615293,1,97,10,0
"Service",1082.70615293,1,98,9,1
"Arrival",1082.99457696,-1,108,9,1
"Arrival",1090.00500587,-1,109,10,1
"Departure",1094.27369583,1,98,11,0
"Service",1094.27369583,1,99,10,1
"Arrival",1095.02809781,-1,110,10,1
"Arrival",1096.49517651,-1,111,11,1
"Departure",1106.38026198,1,99,12,0
"Service",1106.38026198,1,100,11,1
"Arrival",1112.57248501,-1,112,11,1
"Arrival",1113.57063538,-1,113,12,1
"Arrival",1124.39357770,-1,114,13,1
"Arrival",1125.78674977,-1,115,14,1
"Departure",1128.24641499,1,100,15,0
"Service",1128.24641499,1,101,14,1
"Arrival",1130.75483691,-1,116,14,1
"Departure",1132.95329152,1,101,15,0
"Service",1132.95329152,1,102,14,1
"Departure",1139.43754233,1,102,14,0
"Service",1139.43754233,1,103,13,1
"Arrival",1139.88283927,-1,117,13,1
"Departure",1145.79351377,1,103,14,0
"Service",1145.79351377,1,104,13,1
"Arrival",1149.81652090,-1,118,13,1
"Arrival",1152.50717235,-1,119,14,1
"Departure",1155.73465943,1,104,15,0
"Service",1155.73465943,1,105,14,1
"Arrival",1159.28262323,-1,120,14,1
"Departure",1159.57320835,1,105,15,0
"Service",1159.57320835,1,106,14,1
"Arrival",1165.33144382,-1,121,14,1
"Arrival",1171.20696799,-1,122,15,1
"Arrival",1174.48462143,-1,123,16,1
"Departure",1179.29745787,1,106,17,0
"Service",1179.29745787,1,107,16,1
"Departure",1195.27252534,1,107,16,0
"Service",1195.27252534,1,108,15,1
"Arrival",1199.98174133,-1,124,15,1
"Departure",1208.77078691,1,108,16,0
"Service",1208.77078691,1,109,15,1
"Departure",1211.25272834,1,109,15,0
"Service",1211.25272834,1,110,14,1
"Departure",1221.12084653,1,110,14,0
"Service",1221.12084653,1,111,13,1
"Arrival",1224.25888972,-1,125,13,1
"Arrival",1224.69398878,-1,126,14,1
"Departure",1225.39731047,1,111,15,0
"Service",1225.39731047,1,112,14,1
"Arrival",1228.06864550,-1,127,14,1
"Arrival",1229.36918741,-1,128,15,1
"Arrival",1231.41324763,-1,129,16,1
"Arrival",1234.02980511,-1,130,17,1
"Departure",1234.70652530,1,112,18,0
"Service",1234.70652530,1,113,17,1
"Arrival",1237.61044173,-1,131,17,1
"Departure",1247.56339580,1,113,18,0
"Service",1247.56339580,1,114,17,1
"Arrival",1252.86911627,-1,132,17,1
"Departure",1262.16140652,1,114,18,0
"Service",1262.16140652,1,115,17,1
"Departure",1270.12545766,1,115,17,0
"Service",1270.12545766,1,116,16,1
"Departure",1275.20006150,1,116,16,0
"Service",1275.20006150,1,117,15,1
"Arrival",1280.66827539,-1,133,15,1
"Departure",1285.62049778,1,117,16,0
"Service",1285.62049778,1,118,15,1
"Arrival",1287.80586172,-1,134,15,1
"Departure",1291.89953307,1,118,16,0
"Service",1291.89953307,1,119,15,1
"Arrival",1293.38853013,-1,135,15,1
"Departure",1294.17526720,1,119,16,0
"Service",1294.17526720,1,120,15,1
"Arrival",1297.98071713,-1,136,15,1
"Departure",1298.90646398,1,120,16,0
"Service",1298.90646398,1,121,15,1
"Arrival",1299.60157765,-1,137,15,1
"Arrival",1300.57628466,-1,138,16,1
"Departure",1311.46385576,1,121,17,0
"Service",1311.46385576,1,122,16,1
"Arrival",1314.93300902,-1,139,16,1
"Arrival",1318.09831399,-1,140,17,1
"Arrival",1335.11079462,-1,141,18,1
"Departure",1335.66155378,1,122,19,0
"Service",1335.66155378,1,123,18,1
"Departure",1345.92805769,1,123,18,0
"Service",1345.92805769,1,124,17,1
"Arrival",1346.59420051,-1,142,17,1
"Arrival",1354.05397835,-1,143,18,1
"Departure",1355.19671283,1,124,19,0
"Service",1355.19671283,1,125,18,1
"Departure",1358.13805165,1,125,18,0
"Service",1358.13805165,1,126,17,1
"Departure",1371.13518409,1,126,17,0
"Service",1371.13518409,1,127,16,1
"Arrival",1371.45463557,-1,144,16,1
"Departure",1376.97581939,1,127,17,0
"Service",1376.97581939,1,128,16,1
"Arrival",1381.72426673,-1,145,16,1
"Departure",1381.79789623,1,128,17,0
"Service",1381.79789623,1,129,16,1
"Departure",1389.45666617,1,129,16,0
"Service",1389.45666617,1,130,15,1
"Departure",1396.14257363,1,130,15,0
"Service",1396.14257363,1,131,14,1
"Arrival",1396.94120247,-1,146,14,1
"Departure",1396.99645802,1,131,15,0
"Service",1396.99645802,1,132,14,1
"Arrival",1399.56457007,-1,147,14,1
"Arrival",1402.58656069,-1,148,15,1
"Arrival",1403.20361925,-1,149,16,1
"Departure",1408.96511876,1,132,17,0
"Service",1408.96511876,1,133,16,1
"Departure",1413.86559946,1,133,16,0
"Service",1413.86559946,1,134,15,1
"Arrival",1419.80328357,-1,150,15,1
"Departure",1420.96048682,1,134,16,0
"Service",1420.96048682,1,135,15,1
"Arrival",1424.11087864,-1,151,15,1
"Departure",1425.51824106,1,135,16,0
"Service",1425.51824106,1,136,15,1
"Departure",1428.40419255,1,136,15,0
"Service",1428.40419255,1,137,14,1
"Departure",1437.01693649,1,137,14,0
"Service",1437.01693649,1,138,13,1
"Arrival",1448.05507009,-1,152,13,1
"Arrival",1450.71808493,-1,153,14,1
"Departure",1452.67522014,1,138,15,0
"Service",1452.67522014,1,139,14,1
"Arrival",1462.75982416,-1,154,14,1
"Departure",1470.03354222,1,139,15,0
"Service",1470.03354222,1,140,14,1
"Arrival",1472.34709625,-1,155,14,1
"Arrival",1474.59987407,-1,156,15,1
"Departure",1478.38354593,1,140,16,0
"Service",1478.38354593,1,141,15,1
"Departure",1480.77906107,1,141,15,0
"Service",1480.77906107,1,142,14,1
"Arrival",1481.80769453,-1,157,14,1
"Departure",1487.67469956,1,142,15,0
"Service",1487.67469956,1,143,14,1
"Arrival",1488.14561876,-1,158,14,1
"Departure",1491.57894719,1,143,15,0
"Service",1491.57894719,1,144,14,1
"Arrival",1492.36157615,-1,159,14,1
"Departure",1501.16228282,1,144,15,0
"Service",1501.16228282,1,145,14,1
"Arrival",1505.79053730,-1,160,14,1
"Departure",1514.20863690,1,145,15,0
"Service",1514.20863690,1,146,14,1
"Arrival",1519.17667689,-1,161,14,1
"Departure",1523.06485334,1,146,15,0
"Service",1523.06485334,1,147,14,1
"Arrival",1525.32441243,-1,162,14,1
"Arrival",1527.98742803,-1,163,15,1
