"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Arrival",0.510366615073,-1,1,0,0
"Service",0.510366615073,1,1,0,1
"Departure",1.23112183225,1,1,0,0
"Arrival",1.97254320531,-1,2,0,0
"Service",1.97254320531,1,2,0,1
"Arrival",3.19418271999,-1,3,0,1
"Service",3.19418271999,2,3,0,2
"Arrival",3.53729232869,-1,4,0,2
"Service",3.53729232869,3,4,0,3
"Arrival",3.53878090450,-1,5,0,3
"Service",3.53878090450,4,5,0,4
"Arrival",3.59721719522,-1,6,0,4
"Service",3.59721719522,5,6,0,5
"Arrival",3.60132028353,-1,7,0,5
"Departure",3.63474593702,5,6,1,4
"Service",3.63474593702,5,7,0,5
"Departure",3.74163813562,3,4,0,4
"Departure",3.81554754637,1,2,0,3
"Departure",3.98989258865,5,7,0,2
"Departure",4.16805931869,2,3,0,1
"Departure",5.01599672991,4,5,0,0
"Arrival",7.20818452906,-1,8,0,0
"Service",7.20818452906,1,8,0,1
"Departure",7.51967710238,1,8,0,0
"Arrival",9.24912315687,-1,9,0,0
"Service",9.24912315687,1,9,0,1
"Arrival",9.81090577128,-1,10,0,1
"Service",9.81090577128,2,10,0,2
"Departure",10.1226853367,1,9,0,1
"Arrival",10.5769748349,-1,11,0,1
"Service",10.5769748349,1,11,0,2
"Arrival",10.8116014260,-1,12,0,2
"Service",10.8116014260,3,12,0,3
"Arrival",11.0265436761,-1,13,0,3
"Service",11.0265436761,4,13,0,4
"Departure",11.3224283549,3,12,0,3
"Departure",11.7825692039,1,11,0,2
"Departure",12.0419171128,2,10,0,1
"Departure",13.7239829816,4,13,0,0
"Arrival",14.5521705817,-1,14,0,0
"Service",14.5521705817,1,14,0,1
"Departure",14.9559862017,1,14,0,0
"Arrival",15.7203172682,-1,15,0,0
"Service",15.7203172682,1,15,0,1
"Arrival",16.1078013104,-1,16,0,1
"Service",16.1078013104,2,16,0,2
"Departure",16.1870994999,2,16,0,1
"Departure",17.1169411831,1,15,0,0
"Arrival",17.1877263168,-1,17,0,0
"Service",17.1877263168,1,17,0,1
"Departure",17.5073610300,1,17,0,0
"Arrival",19.4007495139,-1,18,0,0
"Service",19.4007495139,1,18,0,1
"Departure",19.4377557025,1,18,0,0
"Arrival",21.6918275777,-1,19,0,0
"Service",21.6918275777,1,19,0,1
"Departure",23.0184041918,1,19,0,0
"Arrival",24.5813848266,-1,20,0,0
"Service",24.5813848266,1,20,0,1
"Departure",24.7170420159,1,20,0,0
"Arrival",25.1126898425,-1,21,0,0
"Service",25.1126898425,1,21,0,1
"Departure",25.4116350138,1,21,0,0
"Arrival",26.9654904095,-1,22,0,0
"Service",26.9654904095,1,22,0,1
"Departure",27.1735313345,1,22,0,0
"Arrival",28.4466022436,-1,23,0,0
"Service",28.4466022436,1,23,0,1
"Arrival",28.5519944684,-1,24,0,1
"Service",28.5519944684,2,24,0,2
"Departure",28.7246222276,1,23,0,1
"Arrival",29.0424056041,-1,25,0,1
"Service",29.0424056041,1,25,0,2
"Arrival",29.0727017001,-1,26,0,2
"Service",29.0727017001,3,26,0,3
"Departure",29.4750254664,3,26,0,2
"Arrival",29.6877419806,-1,27,0,2
"Service",29.6877419806,3,27,0,3
"Departure",29.7352901933,1,25,0,2
"Departure",29.9803493798,2,24,0,1
"Arrival",30.1834574696,-1,28,0,1
"Service",30.1834574696,1,28,0,2
"Departure",30.6451406119,3,27,0,1
"Arrival",30.6811278676,-1,29,0,1
"Service",30.6811278676,2,29,0,2
"Departure",31.5051203395,1,28,0,1
"Arrival",31.6285986749,-1,30,0,1
"Service",31.6285986749,1,30,0,2
"Departure",31.7119175331,1,30,0,1
"Arrival",32.0665504002,-1,31,0,1
"Service",32.0665504002,1,31,0,2
"Departure",32.1198926457,1,31,0,1
"Departure",32.5231217384,2,29,0,0
"Arrival",33.9484323039,-1,32,0,0
"Service",33.9484323039,1,32,0,1
"Departure",34.3303252130,1,32,0,0
"Arrival",35.2483462966,-1,33,0,0
"Service",35.2483462966,1,33,0,1
"Arrival",35.8695082780,-1,34,0,1
"Service",35.8695082780,2,34,0,2
"Arrival",36.1614619914,-1,35,0,2
"Service",36.1614619914,3,35,0,3
"Departure",36.2010922116,1,33,0,2
"Departure",36.5998726649,3,35,0,1
"Departure",37.1276539860,2,34,0,0
"Arrival",37.7380186752,-1,36,0,0
"Service",37.7380186752,1,36,0,1
"Arrival",37.9277037222,-1,37,0,1
"Service",37.9277037222,2,37,0,2
"Departure",37.9993224475,1,36,0,1
"Arrival",38.4247371321,-1,38,0,1
"Service",38.4247371321,1,38,0,2
"Arrival",38.5499036286,-1,39,0,2
"Service",38.5499036286,3,39,0,3
