"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Arrival",0.164676673717,-1,1,0,0
"Service",0.164676673717,1,1,0,1
"Arrival",0.456259711015,-1,2,0,1
"Service",0.456259711015,2,2,0,2
"Departure",0.557856137427,1,1,0,1
"Departure",0.615645872611,2,2,0,0
"Arrival",2.31631148825,-1,3,0,0
"Service",2.31631148825,1,3,0,1
"Arrival",2.57232892602,-1,4,0,1
"Service",2.57232892602,2,4,0,2
"Departure",2.58144281505,1,3,0,1
"Arrival",2.68394448605,-1,5,0,1
"Service",2.68394448605,1,5,0,2
"Departure",2.85992170702,2,4,0,1
"Departure",2.89288328362,1,5,0,0
"Arrival",3.58261599391,-1,6,0,0
"Service",3.58261599391,1,6,0,1
"Departure",3.75325936629,1,6,0,0
"Arrival",4.38593188767,-1,7,0,0
"Service",4.38593188767,1,7,0,1
"Arrival",4.50975040851,-1,8,0,1
"Service",4.50975040851,2,8,0,2
"Departure",4.57272776208,1,7,0,1
"Departure",4.59256298519,2,8,0,0
"Arrival",4.68841103451,-1,9,0,0
"Service",4.68841103451,1,9,0,1
"Departure",4.70211320068,1,9,0,0
"Arrival",5.41980220913,-1,10,0,0
"Service",5.41980220913,1,10,0,1
"Arrival",5.42135897826,-1,11,0,1
"Service",5.42135897826,2,11,0,2
"Departure",5.43662114825,1,10,0,1
"Departure",5.56423665727,2,11,0,0
"Arrival",6.42411245781,-1,12,0,0
"Service",6.42411245781,1,12,0,1
"Departure",6.52874304827,1,12,0,0
"Arrival",6.77734660364,-1,13,0,0
"Service",6.77734660364,1,13,0,1
"Departure",6.99916166858,1,13,0,0
"Arrival",7.07237005814,-1,14,0,0
"Service",7.07237005814,1,14,0,1
"Departure",7.12396155610,1,14,0,0
"Arrival",7.60980383110,-1,15,0,0
"Service",7.60980383110,1,15,0,1
"Departure",7.72836025683,1,15,0,0
"Arrival",7.77713634894,-1,16,0,0
"Service",7.77713634894,1,16,0,1
"Departure",7.94633983572,1,16,0,0
"Arrival",8.33322665256,-1,17,0,0
"Service",8.33322665256,1,17,0,1
"Departure",8.36968799021,1,17,0,0
"Arrival",8.50229974539,-1,18,0,0
"Service",8.50229974539,1,18,0,1
"Departure",8.61838303291,1,18,0,0
"Arrival",8.94359216734,-1,19,0,0
"Service",8.94359216734,1,19,0,1
"Arrival",8.94504584061,-1,20,0,1
"Service",8.94504584061,2,20,0,2
"Departure",9.01186398799,2,20,0,1
"Arrival",9.03833715143,-1,21,0,1
"Service",9.03833715143,2,21,0,2
"Departure",9.17456280113,1,19,0,1
"Departure",9.29945742187,2,21,0,0
"Arrival",9.39906764233,-1,22,0,0
"Service",9.39906764233,1,22,0,1
"Departure",9.43324959877,1,22,0,0
"Arrival",9.78232537165,-1,23,0,0
"Service",9.78232537165,1,23,0,1
"Departure",10.1896622843,1,23,0,0
"Arrival",10.8546426385,-1,24,0,0
"Service",10.8546426385,1,24,0,1
"Arrival",10.9939811530,-1,25,0,1
"Service",10.9939811530,2,25,0,2
"Departure",11.1355987972,2,25,0,1
"Departure",11.1940999485,1,24,0,0
"Arrival",11.6678848268,-1,26,0,0
"Service",11.6678848268,1,26,0,1
"Departure",11.8346923217,1,26,0,0
"Arrival",11.8502242637,-1,27,0,0
"Service",11.8502242637,1,27,0,1
"Departure",11.9407810734,1,27,0,0
"Arrival",12.3034601988,-1,28,0,0
"Service",12.3034601988,1,28,0,1
"Arrival",12.4007130256,-1,29,0,1
"Service",12.4007130256,2,29,0,2
"Departure",12.4431929641,1,28,0,1
"Arrival",12.5278469416,-1,30,0,1
"Service",12.5278469416,1,30,0,2
"Departure",12.6416691008,1,30,0,1
"Departure",12.6730936032,2,29,0,0
"Arrival",13.9955925977,-1,31,0,0
"Service",13.9955925977,1,31,0,1
"Departure",14.0949102539,1,31,0,0
"Arrival",14.1220960457,-1,32,0,0
"Service",14.1220960457,1,32,0,1
"Departure",14.1623314518,1,32,0,0
"Arrival",14.7284915899,-1,33,0,0
"Service",14.7284915899,1,33,0,1
"Arrival",14.7440227568,-1,34,0,1
"Service",14.7440227568,2,34,0,2
"Departure",14.9055430495,1,33,0,1
"Departure",15.0322828659,2,34,0,0
"Arrival",16.2959151367,-1,35,0,0
"Service",16.2959151367,1,35,0,1
"Arrival",16.3336304436,-1,36,0,1
"Service",16.3336304436,2,36,0,2
"Departure",16.4124742680,2,36,0,1
"Departure",16.5858840184,1,35,0,0
"Arrival",18.8335379324,-1,37,0,0
"Service",18.8335379324,1,37,0,1
